lang,paradigm,variation,version,native,score
Groovy,Imperative,Inline,17.0.0,false,1079365370.88
Java,Imperative,Inline,11.0.12,false,1065646593.43
Kotlin,Imperative,Inline,17.0.0,false,911427265.49
Java,Imperative,Inline,17.0.0,false,907963943.99
Kotlin,Imperative,Inline,11.0.12,false,886100353.56
Groovy,Imperative,Inline,11.0.12,false,329062633.58
Groovy,Imperative,Inline,21.2.0.r11-grl,true,25653958.86
Groovy,Imperative,Inline,21.2.0.r16-grl,true,23737616.05
Java,Imperative,Inline,21.2.0.r11-grl,true,22685656.48
Java,Imperative,Inline,21.2.0.r16-grl,true,22505430.51
Kotlin,Imperative,Inline,21.2.0.r11-grl,true,22251752.41
Kotlin,Imperative,Inline,21.2.0.r16-grl,true,20902030.10
Java,Imperative,Call,17.0.0,false,1676706.83
Groovy,Imperative,Call,21.2.0.r11-grl,true,1675809.86
Kotlin,Imperative,Call,17.0.0,false,1576954.02
Kotlin,Imperative,Call,11.0.12,false,1550893.14
Groovy,Imperative,Call,17.0.0,false,1548513.00
Scala,Imperative,Inline,17.0.0,false,1509134.61
Scala,Imperative,Inline,11.0.12,false,1484010.18
Groovy,Imperative,Call,21.2.0.r16-grl,true,1330120.77
Java,Imperative,Call,11.0.12,false,1269404.86
Groovy,Imperative,Call,11.0.12,false,1215502.19
Kotlin,Imperative,Call,21.2.0.r11-grl,true,1210708.72
Kotlin,Imperative,Call,21.2.0.r16-grl,true,1129483.83
Java,Imperative,Call,21.2.0.r16-grl,true,1115273.37
Java,Imperative,Call,21.2.0.r11-grl,true,1113567.84
Scala,Imperative,Call,21.2.0.r11-grl,true,1049351.24
Scala,Imperative,Inline,21.2.0.r16-grl,true,950917.62
Scala,Imperative,Call,21.2.0.r16-grl,true,948252.67
Scala,Imperative,Call,11.0.12,false,939091.14
Scala,Imperative,Inline,21.2.0.r11-grl,true,934453.73
Scala,Imperative,Call,17.0.0,false,872538.58
Kotlin,Functional,,17.0.0,false,591111.01
Scala,Functional,,21.2.0.r11-grl,true,585884.63
Scala,Functional,,21.2.0.r16-grl,true,573594.12
Scala,Functional,Z,21.2.0.r16-grl,true,540049.84
Scala,Functional,Z,21.2.0.r11-grl,true,519120.36
Scala,Functional,Z,17.0.0,false,500733.95
Kotlin,Functional,,21.2.0.r11-grl,true,498982.69
Kotlin,Functional,,11.0.12,false,461508.87
Kotlin,Functional,,21.2.0.r16-grl,true,424752.37
Scala,Functional,,17.0.0,false,393387.51
Scala,Functional,Z,11.0.12,false,385908.46
Scala,Functional,,11.0.12,false,342851.61
Kotlin,Functional,MapReduce,17.0.0,false,296822.68
Java,Functional,Vavr,21.2.0.r11-grl,true,283806.49
Kotlin,Functional,MapReduce,21.2.0.r16-grl,true,272830.50
Kotlin,Functional,MapReduce,21.2.0.r11-grl,true,269854.93
Java,Functional,Vavr,21.2.0.r16-grl,true,255897.56
Kotlin,Functional,MapReduce,11.0.12,false,205219.08
Java,Functional,Vavr,17.0.0,false,196162.17
Java,Functional,Vavr,11.0.12,false,186002.45
Java,Functional,,21.2.0.r11-grl,true,131690.10
Java,Functional,,21.2.0.r16-grl,true,129849.56
Java,Functional,,11.0.12,false,100824.82
Java,Functional,MapReduce,21.2.0.r11-grl,true,97713.64
Java,Functional,MapReduce,21.2.0.r16-grl,true,79576.24
Java,Functional,MapReduce,11.0.12,false,73576.92
Scala,Functional,Streams,21.2.0.r11-grl,true,73150.65
Java,Functional,MapReduce,17.0.0,false,65023.44
Java,Functional,,17.0.0,false,64580.80
Scala,Functional,Streams,11.0.12,false,62689.24
Scala,Functional,Streams,17.0.0,false,53379.36
Scala,Functional,Streams,21.2.0.r16-grl,true,43179.79
Groovy,Functional,,21.2.0.r11-grl,true,18562.48
Groovy,Functional,,17.0.0,false,12923.49
Groovy,Functional,,21.2.0.r16-grl,true,12235.32
Groovy,Functional,,11.0.12,false,11233.63
